tu_id	speaker	start	end	duration	text
331	PKP012	841.840	842.760	0.920	 [non la vedi MAI?]
332	PKP038	842.645	847.105	4.460	 [non] non si vede mai o prende anche i [sonniferi da quanto] ha detto l'altra vicina
333	PKP031	845.060	845.880	0.820	 [>arriva la ale<]
334	PKP038	847.555	857.385	9.830	 e e >allora< siam stati tipo tremila ore [a suo]nare che n~ non si reffava [perché non] sapevano {P} data [di nascità] e carta d'identi~ [e tutti i documenti no?]
335	PKP011	849.645	850.055	0.410	 [eh:]
336	PKP031	851.565	852.295	0.730	 [>adesso< vediamo]
337	PKP031	853.685	854.615	0.930	 [°>più che altro< come°]
338	PKP012	855.635	859.425	3.790	 [fammi capire] questo si è ubriacato hanno chiamato l'ambulanza perché?
339	PKP038	860.155	861.115	0.960	 è >CADUTO<
340	PKP012	861.335	861.805	0.470	 AH::
341	PKP038	861.835	863.015	1.180	 e aveva sangue dall'orecchio
342	PKP012	863.060	864.220	1.160	 OH santo dio
343	PKP011	864.255	864.805	0.550	 madonna
344	PKP124	864.915	865.845	0.930	 ma buonasera
345	PKP011	865.855	867.025	1.170	 [<ciao>] [anto]
346	PKP031	865.855	866.315	0.460	 [ciao]
347	PKP038	866.475	867.355	0.880	 [non puoi] stare qua
348	PKP011	867.520	868.890	1.370	 ma sì ma adesso adesso
349	PKP031	869.910	870.959	1.049	 no davvero °come facciamo°
350	PKP124	871.055	871.795	0.740	 me ne [vado via allora?]
351	PKP011	871.060	877.440	6.380	 [no {P} adesso che finisco io] aspetta, adesso che finisco io la faccio sedere e io se sto in piedi dietro la [michi è un problema?]
352	PKP038	871.795	873.565	1.770	 [due {P} no due vanno là]
353	PKP124	876.685	877.415	0.730	 [°no okay°]
354	PKP124	878.170	880.520	2.350	 eh che vado dentro a chiedere mi: mi sparano?
355	PKP011	880.980	881.420	0.440	 °non lo so°
356	PKP031	882.255	885.735	3.480	 magari di che [sei fratello di qualcun~ >sorella< di qualcuno] non so
357	PKP011	882.780	884.920	2.140	 [vabbè {P} intanto comincia:]
358	PKP038	884.960	885.500	0.540	 {ride}
359	PKP038	885.820	886.720	0.900	 xxx (due)
360	PKP012	887.120	887.630	0.510	 <t[uo>]
361	PKP011	887.270	888.000	0.730	 [(vai] ale)
362	PKP124	888.020	889.680	1.660	 no no ma xx ti [ma ti pare?]
363	PKP031	888.935	889.675	0.740	 [qualched'un,]
364	PKP011	889.770	890.580	0.810	 ho finito?
365	PKP031	891.480	895.270	3.790	 [pero' ragazzi] °non c'è° effettivamente non c'è che sia [tanta gente]
366	PKP011	891.500	891.980	0.480	 [ho finito]
367	PKP038	894.630	896.870	2.240	 [lo] stesso modo di camminare [hanno °gli autistici°]
368	PKP011	896.080	896.900	0.820	 [si beh in effetti]
369	PKP031	897.805	899.035	1.230	 prova a [chiedere ale]
370	PKP038	898.205	899.025	0.820	 [li vedi proprio]
371	PKP012	899.120	899.930	0.810	 <rigido>
372	PKP038	900.560	902.620	2.060	 si:: e poi tipo traballante
